Wind speed(m/s),Temperature(C),Humidity,Air Pressure,Wind direction,Precipitation(mm),solar irradiation(kW/m2),Active Power(MW)_Hybrid_88W
0.61,0.13,0.73,1,0.17,0.16,0,0.6897
0.64,0.13,0.74,1,0.21,0.16,0,0.6909
0.56,0.13,0.75,1,0.2,0.16,0,0.6791
0.58,0.14,0.75,1,0.27,0.16,0,0.6731
0.52,0.12,0.75,1,0.22,0.16,0,0.6703
0.52,0.12,0.76,1,0.21,0.16,0,0.6724
0.37,0.13,0.76,1,0.23,0.16,0,0.6439
0.36,0.15,0.75,1,0.19,0.17,0.05,0.6581
0.34,0.15,0.74,1,0.17,0.18,0.11,0.6667
0.25,0.16,0.72,1,0.25,0.18,0.21,0.653
0.58,0.16,0.71,1,0.1,0.19,0.4,0.7608
0.84,0.16,0.69,1,0.18,0.19,0.59,0.8192
0.67,0.16,0.64,1,0.19,0.2,0.48,0.7598
0.49,0.15,0.55,1,0.1,0.19,0.14,0.6736
0.61,0.13,0.6,1,0.15,0.2,0.04,0.6711
0.24,0.12,0.67,1,0.18,0.2,0.01,0.609
0.3,0.11,0.69,1,0.08,0.2,0,0.6374
0.37,0.11,0.7,1,0.16,0.21,0,0.6361
0.53,0.11,0.71,1,0.14,0.19,0,0.6703
0.44,0.11,0.72,1,0.19,0.18,0,0.6506
0.34,0.11,0.73,1,0.2,0.18,0,0.6331
0.2,0.11,0.74,1,0.17,0.18,0,0.6162
0.2,0.1,0.75,1,0.18,0.18,0,0.6167
0.33,0.1,0.78,1,0.17,0.18,0,0.6424
0.34,0.11,0.8,1,0.25,0.2,0,0.6342
0.4,0.1,0.82,1,0.18,0.21,0,0.6555
0.38,0.1,0.83,1,0.19,0.21,0,0.6507
0.38,0.1,0.82,1,0.07,0.22,0,0.6694
0.44,0.1,0.79,1,0.14,0.22,0,0.6616
0.54,0.1,0.77,1,0.08,0.21,0,0.6868
0.41,0.12,0.76,1,0.14,0.21,0,0.6562
0.8,0.14,0.74,1,0.07,0.21,0.01,0.7337
1,0.15,0.73,1,0.17,0.21,0.02,0.7522
1,0.14,0.73,1,0.18,0.22,0.24,0.7858
0.5,0.13,0.76,1,0.15,0.22,0.31,0.7222
0.42,0.13,0.8,1,0.21,0.21,0.35,0.7124
0.4,0.13,0.81,1,0.22,0.21,0.24,0.6924
0.39,0.13,0.82,1,0.15,0.2,0.24,0.7045
0.2,0.12,0.83,1,0.15,0.19,0.15,0.6603
0.18,0.12,0.84,1,0.16,0.18,0.08,0.6459
0.48,0.11,0.85,1,0.16,0.17,0,0.686
0.34,0.1,0.86,1,0.19,0.17,0,0.6587
0.26,0.1,0.87,1,0.2,0.17,0,0.6446
0.22,0.1,0.88,1,0.21,0.19,0,0.6332
0.21,0.09,0.88,1,0.24,0.2,0,0.6233
0.31,0.09,0.88,1,0.25,0.2,0,0.6404
0.17,0.09,0.89,1,0.22,0.18,0,0.6257
0.37,0.09,0.89,1,0.32,0.18,0,0.6421
0.39,0.09,0.89,1,0.3,0.19,0,0.6475
0.38,0.09,0.88,1,0.31,0.19,0,0.6437
0.49,0.09,0.87,1,0.3,0.19,0,0.6607
0.26,0.09,0.86,1,0.31,0.19,0,0.62
0.19,0.09,0.85,1,0.31,0.2,0,0.6035
0.25,0.09,0.85,1,0.31,0.2,0,0.6137
0.3,0.09,0.86,1,0.31,0.19,0,0.6257
0.28,0.1,0.87,1,0.3,0.19,0.02,0.6318
0.16,0.12,0.87,1,0.31,0.2,0.13,0.6296
0.35,0.1,0.86,1,0.24,0.22,0.22,0.6806
0.35,0.09,0.87,1,0.24,0.19,0.31,0.6996
0.36,0.11,0.87,1,0.21,0.19,0.33,0.7111
0.31,0.11,0.86,1,0.23,0.19,0.33,0.6973
0.32,0.09,0.86,1,0.15,0.2,0.18,0.6838
0.41,0.09,0.86,1,0.24,0.19,0.09,0.6718
0.13,0.09,0.87,1,0.25,0.18,0.02,0.6114
0.19,0.07,0.88,1,0.23,0.22,0,0.6153
0.13,0.07,0.89,1,0.16,0.22,0,0.6174
0.17,0.06,0.9,1,0.08,0.22,0,0.6385
0.17,0.06,0.9,1,0.07,0.22,0,0.6407
0.32,0.06,0.91,1,0.15,0.2,0,0.6574
0.32,0.09,0.91,1,0.13,0.21,0,0.6612
0.33,0.08,0.91,1,0.09,0.19,0,0.6736
0.29,0.08,0.91,1,0.12,0.19,0,0.6619
0.32,0.07,0.91,1,0.14,0.19,0,0.662
0.35,0.06,0.91,1,0.15,0.19,0,0.6645
0.21,0.06,0.92,1,0.12,0.2,0,0.644
0.22,0.05,0.92,1,0.06,0.19,0,0.657
0.27,0.05,0.92,1,0.08,0.19,0,0.6631
0.21,0.05,0.93,1,0.07,0.19,0,0.6571
0.28,0.08,0.93,1,0.08,0.18,0,0.6716
0.17,0.1,0.92,1,0.19,0.18,0.02,0.6409
0.16,0.12,0.9,1,0.18,0.18,0.13,0.6587
0.43,0.14,0.88,1,0.17,0.19,0.22,0.7165
0.54,0.15,0.84,1,0.23,0.17,0.37,0.7494
0.71,0.15,0.77,1,0.22,0.17,0.33,0.7626
0.72,0.15,0.72,1,0.22,0.17,0.34,0.7582
0.57,0.15,0.7,1,0.21,0.16,0.32,0.7267
0.73,0.14,0.7,1,0.21,0.17,0.26,0.7413
0.73,0.13,0.71,1,0.27,0.17,0.2,0.7203
0.57,0.13,0.71,1,0.27,0.16,0.02,0.667
0.49,0.12,0.72,1,0.18,0.16,0,0.6651
0.68,0.13,0.72,1,0.22,0.17,0,0.6899
